Disparity of Point  10347 =  (1063, 127) = 28
Disparity of Point  10348 =  (1063, 127) = 28
Disparity of Point  10558 =  (747, 130) = 27
Disparity of Point  10559 =  (747, 130) = 27
Disparity of Point  10562 =  (771, 130) = 27
Disparity of Point  10563 =  (771, 130) = 27
Disparity of Point  10987 =  (721, 134) = 24
Disparity of Point  11081 =  (717, 135) = 24
Disparity of Point  11199 =  (797, 136) = 27
Disparity of Point  11200 =  (797, 136) = 27
Disparity of Point  11213 =  (906, 136) = 18
Disparity of Point  11214 =  (906, 136) = 18
Disparity of Point  11302 =  (906, 137) = 18
Disparity of Point  11389 =  (877, 138) = 16
Disparity of Point  11390 =  (877, 138) = 16
Disparity of Point  11391 =  (1064, 138) = 28
Disparity of Point  11392 =  (1064, 138) = 28
Disparity of Point  11453 =  (719, 139) = 24
Disparity of Point  11469 =  (1064, 139) = 28
Disparity of Point  11470 =  (1064, 139) = 28
Disparity of Point  11535 =  (1064, 140) = 28
Disparity of Point  11536 =  (1064, 140) = 28
Disparity of Point  11593 =  (1064, 141) = 28
Disparity of Point  11594 =  (1064, 141) = 28
Disparity of Point  11648 =  (806, 142) = 12
Disparity of Point  11649 =  (806, 142) = 12
Disparity of Point  11720 =  (646, 143) = 12
Disparity of Point  11721 =  (646, 143) = 12
Disparity of Point  11741 =  (823, 143) = 12
Disparity of Point  11742 =  (823, 143) = 12
Disparity of Point  11745 =  (861, 143) = 15
Disparity of Point  11746 =  (861, 143) = 15
Disparity of Point  11749 =  (878, 143) = 16
Disparity of Point  11800 =  (650, 144) = 12
Disparity of Point  11821 =  (823, 144) = 12
Disparity of Point  11822 =  (823, 144) = 12
Disparity of Point  11825 =  (852, 144) = 15
Disparity of Point  11834 =  (878, 144) = 16
Disparity of Point  11835 =  (878, 144) = 16
Disparity of Point  11836 =  (882, 144) = 17
Disparity of Point  11837 =  (882, 144) = 17
Disparity of Point  11877 =  (646, 145) = 12
Disparity of Point  11882 =  (738, 145) = 24
Disparity of Point  11883 =  (738, 145) = 24
